Key,File,Type,UsedInMainMenu,NoTranslate,english,Context / Alternate Text,german,spanish,french,italian,japanese,koreana,polish,brazilian,russian,turkish,schinese,tchinese
NEDwoodDoor_ironDoorArmyGreen,blocks,block,,,Army Green Iron Door,,Armeegrüne Eisentür,Puerta de hierro verde militar,Porte en fer kaki,Porta di ferro verde militare,鉄製ドア（アーミーグリーン）,아미 녹색 철제 문,Żelazne drzwi – moro,Porta de ferro verde-militar,Железная дверь цвета хаки,Askeri Yeşil Demir Kapı,军绿色铁门,軍綠色鐵門
NEDwoodDoor_ironDoorDoubleWhite,blocks,block,,,White Iron Door Double,,Weiße Eisendoppeltür,Puerta de hierro doble blanca,Double porte en fer blanche,Porta di ferro doppia bianca,鉄製ドア（白・ダブル）,흰색 철제 문 더블,"Żelazne drzwi – białe, podwójne",Porta de ferro dupla branca,Белая двойная железная дверь,Çift Kanatlı Beyaz Demir Kapı,白色双开铁门,白色雙鐵門
NEDwoodDoor_ironDoorDoubleBrown,blocks,block,,,Brown Iron Door Double,,Braune Eisendoppeltür,Puerta de hierro doble marrón,Double porte en fer marron,Porta di ferro doppia marrone,鉄製ドア（茶色・ダブル）,갈색 철제 문 더블,"Żelazne drzwi – brązowe, podwójne",Porta de ferro dupla marrom,Коричневая двойная железная дверь,Çift Kanatlı Kahverengi Demir Kapı,棕色双开铁门,棕色雙鐵門
NEDwoodDoor_ironDoorDoubleRed,blocks,block,,,Red Iron Door Double,,Rote Eisendoppeltür,Puerta de hierro doble roja,Double porte en fer rouge,Porta di ferro doppia rossa,鉄製ドア（赤・ダブル）,빨간색 철제 문 더블,"Żelazne drzwi – czerwone, podwójne",Porta de ferro dupla vermelha,Красная двойная железная дверь,Çift Kanatlı Kırmızı Demir Kapı,红色双开铁门,紅色雙鐵門
NEDwoodDoor_ironDoorDoubleOrange,blocks,block,,,Orange Iron Door Double,,Orangefarbene Eisendoppeltür,Puerta de hierro doble naranja,Double porte en fer orange,Porta di ferro doppia arancione,鉄製ドア（橙・ダブル）,주황색 철제 문 더블,"Żelazne drzwi – pomarańczowe, podwójne",Porta de ferro dupla laranja,Оранжевая двойная железная дверь,Çift Kanatlı Turuncu Demir Kapı,橙色双开铁门,橘色雙鐵門
NEDwoodDoor_ironDoorDoubleYellow,blocks,block,,,Yellow Iron Door Double,,Gelbe Eisendoppeltür,Puerta de hierro doble amarilla,Double porte en fer jaune,Porta di ferro doppia gialla,鉄製ドア（黄色・ダブル）,노란색 철제 문 더블,"Żelazne drzwi – żółte, podwójne",Porta de ferro dupla amarela,Желтая двойная железная дверь,Çift Kanatlı Sarı Demir Kapı,黄色双开铁门,黃色雙鐵門
NEDwoodDoor_ironDoorDoubleGreen,blocks,block,,,Green Iron Door Double,,Grüne Eisendoppeltür,Puerta de hierro doble verde,Double porte en fer verte,Porta di ferro doppia verde,鉄製ドア（緑・ダブル）,녹색 철제 문 더블,"Żelazne drzwi – zielone, podwójne",Porta de ferro dupla verde,Зеленая двойная железная дверь,Çift Kanatlı Yeşil Demir Kapı,绿色双开铁门,綠色雙鐵門
NEDwoodDoor_ironDoorDoubleBlue,blocks,block,,,Blue Iron Door Double,,Blaue Eisendoppeltür,Puerta de hierro doble azul,Double porte en fer bleue,Porta di ferro doppia blu,鉄製ドア（青・ダブル）,파란색 철제 문 더블,"Żelazne drzwi – niebieskie, podwójne",Porta de ferro dupla azul,Синяя двойная железная дверь,Çift Kanatlı Mavi Demir Kapı,蓝色双开铁门,藍色雙鐵門
NEDwoodDoor_ironDoorDoublePurple,blocks,block,,,Purple Iron Door Double,,Lilafarbene Eisendoppeltür,Puerta de hierro doble violeta,Double porte en fer violette,Porta di ferro doppia viola,鉄製ドア（紫・ダブル）,보라색 철제 문 더블,"Żelazne drzwi – fioletowe, podwójne",Porta de ferro dupla roxa,Фиолетовая двойная железная дверь,Çift Kanatlı Mor Demir Kapı,紫色双开铁门,紫色雙鐵門
NEDwoodDoor_ironDoorDoubleGrey,blocks,block,,,Grey Iron Door Double,,Graue Eisendoppeltür,Puerta de hierro doble gris,Double porte en fer grise,Porta di ferro doppia grigia,鉄製ドア（灰色・ダブル）,회색 철제 문 더블,"Żelazne drzwi – szare, podwójne",Porta de ferro dupla cinza,Серая двойная железная дверь,Çift Kanatlı Gri Demir Kapı,灰色双开铁门,灰色雙鐵門
NEDwoodDoor_ironDoorDoubleBlack,blocks,block,,,Black Iron Door Double,,Schwarze Eisendoppeltür,Puerta de hierro doble negra,Double porte en fer noire,Porta di ferro doppia nera,鉄製ドア（黒・ダブル）,검정색 철제 문 더블,"Żelazne drzwi – czarne, podwójne",Porta de ferro dupla preta,Черная двойная железная дверь,Çift Kanatlı Siyah Demir Kapı,黑色双开铁门,黑色雙鐵門
NEDwoodDoor_ironDoorDoublePink,blocks,block,,,Pink Iron Door Double,,Rosafarbene Eisendoppeltür,Puerta de hierro doble rosa,Double porte en fer rose,Porta di ferro doppia rosa,鉄製ドア（ピンク・ダブル）,분홍색 철제 문 더블,"Żelazne drzwi – różowe, podwójne",Porta de ferro dupla rosa,Розовая двойная железная дверь,Çift Kanatlı Pembe Demir Kapı,粉色双开铁门,粉紅色雙鐵門
NEDwoodDoor_ironDoorDoubleArmyGreen,blocks,block,,,Army Green Iron Door Double,,Armeegrüne Eisendoppeltür,Puerta de hierro doble verde militar,Double porte en fer kaki,Porta di ferro doppia verde militare,鉄製ドア（アーミーグリーン・ダブル）,아미 녹색 철제 문 더블,"Żelazne drzwi – moro, podwójne",Porta de ferro dupla verde-militar,Двойная железная дверь цвета хаки,Çift Kanatlı Askeri Yeşil Demir Kapı,军绿色双开铁门,軍綠色雙鐵門
NEDwoodDoor_vaultDoor01,blocks,Door,,,Steel Door,,Stahltür,Puerta de acero,Porte en acier,Porta di acciaio,鉄鋼製ドア,강철문,Stalowe drzwi,Porta de aço,Стальная дверь,Çelik Kapı,钢门,鋼門
NEDwoodDoor_vaultDoor01Double,blocks,block,,,Steel Door Double,,Stahldoppeltür,Puerta de acero doble,"Porte en acier, double",Porta di acciaio doppia,鉄鋼製ドア（ダブル）,강철 문 더블,Drzwi stalowe — podwójne,Porta de aço em dobro,Двойная стальная дверь,Çift Kanatlı Çelik Kapı,双开钢门,鋼雙門
NEDwoodDoor_bathroomStallDoor,blocks,Block,,,Bathroom Stall Door,,Toilettenkabine – Tür,Puerta de cubículo de baño,Porte pour cabinet de toilette,Porta da bagno,トイレの個室（ドア）,화장실 칸 문,Kabina łazienkowa – drzwi,Porta de banheiro,Дверь туалетной кабинки,Tuvalet Kabini Kapı,卫生间隔间 门,浴室隔間門
NEDwoodDoor_chainlinkFenceDoor,blocks,Block,,,Chain Link Door,,Maschendraht – Tür,Puerta de malla metálica,Porte de grillage,Apertura della rete metallica,チェーンリンク（ドア）,체인 링크 문,Siatka stalowa – drzwi,Porta da articulação da corrente,Дверь для забора из сетки-рабицы,Zincir Kapı,铁丝网 门,鐵絲網門
NEDwoodDoor_chainlinkFenceDoorDouble,blocks,Block,,,Chain Link Door Double,,"Maschendraht – Tür, doppelt",Puerta de malla metálica doble,"Porte de grillage, double",Doppia porta della rete metallica,チェーンリンク・ドア（ダブル）,체인 링크 문(더블),"Siatka stalowa – drzwi, podwójne",Porta dupla da articulação da corrente,Двойная дверь для забора из сетки-рабицы,Zincir Kapı - Çift,链条 门 双,鐵絲網雙門
NEDwoodDoor_jailDoorWhite,blocks,block,,,White Jail Door,,Weiße Gefängnistür,Puerta de prisión blanca,Porte de prison blanche,Porta della prigione bianca,牢獄扉（白）,흰색 감옥 문,Drzwi do więzienia – białe,Porta de cela branca,Белая дверь камеры,Beyaz Hapishane Kapısı,白色监狱门,白色監獄門
NEDwoodDoor_jailDoorBrown,blocks,block,,,Brown Jail Door,,Braune Gefängnistür,Puerta de prisión marrón,Porte de prison marron,Porta della prigione marrone,牢獄扉（茶）,갈색 감옥 문,Drzwi do więzienia – brązowe,Porta de cela marrom,Коричневая дверь камеры,Kahverengi Hapishane Kapısı,棕色监狱门,棕色監獄門
NEDwoodDoor_jailDoorYellow,blocks,block,,,Yellow Jail Door,,Gelbe Gefängnistür,Puerta de prisión amarilla,Porte de prison jaune,Porta della prigione gialla,牢獄扉（黄）,노란색 감옥 문,Drzwi do więzienia – żółte,Porta de cela amarela,Желтая дверь камеры,Sarı Hapishane Kapısı,黄色监狱门,黃色監獄門
NEDwoodDoor_jailDoorGreen,blocks,block,,,Green Jail Door,,Grüne Gefängnistür,Puerta de prisión verde,Porte de prison verte,Porta della prigione verde,牢獄扉（緑）,초록색 감옥 문,Drzwi do więzienia – zielone,Porta de cela verde,Зеленая дверь камеры,Yeşil Hapishane Kapısı,绿色监狱门,綠色監獄門
NEDwoodDoor_jailDoorBlue,blocks,block,,,Blue Jail Door,,Blaue Gefängnistür,Puerta de prisión azul,Porte de prison bleue,Porta della prigione blu,牢獄扉（青）,파란색 감옥 문,Drzwi do więzienia – niebieskie,Porta de cela azul,Синяя дверь камеры,Mavi Hapishane Kapısı,蓝色监狱门,藍色監獄門
NEDwoodDoor_jailDoorGrey,blocks,block,,,Grey Jail Door,,Graue Gefängnistür,Puerta de prisión gris,Porte de prison grise,Porta della prigione grigia,牢獄扉（灰）,회색 감옥 문,Drzwi do więzienia – szare,Porta de cela cinza,Серая дверь камеры,Gri Hapishane Kapısı,灰色监狱门,灰色監獄門
NEDwoodDoor_jailDoorDoubleWhite,blocks,block,,,White Jail Double Door,,Weiße Gefängnis-Doppeltür,Puerta de prisión blanca doble,Double porte de prison blanche,Porta doppia della prigione bianca,牢獄扉（白・ダブル）,흰색 감옥 이중문,"Drzwi do więzienia – białe, podwójne",Porta dupla de cela branca,Белая двойная дверь камеры,Çift Kanatlı Beyaz Hapishane Kapısı,白色监狱双开门,白色監獄雙門
NEDwoodDoor_jailDoorDoubleBrown,blocks,block,,,Brown Jail Double Door,,Braune Gefängnis-Doppeltür,Puerta de prisión marrón doble,Double porte de prison marron,Porta doppia della prigione marrone,牢獄扉（茶・ダブル）,갈색 감옥 이중문,"Drzwi do więzienia – brązowe, podwójne",Porta dupla de cela marrom,Коричневая двойная дверь камеры,Çift Kanatlı Kahverengi Hapishane Kapısı,棕色监狱双开门,棕色監獄雙門
NEDwoodDoor_jailDoorDoubleYellow,blocks,block,,,Yellow Jail Double Door,,Gelbe Gefängnis-Doppeltür,Puerta de prisión amarilla doble,Double porte de prison jaune,Porta doppia della prigione gialla,牢獄扉（黄・ダブル）,노란색 감옥 이중문,"Drzwi do więzienia – żółte, podwójne",Porta dupla de cela amarela,Желтая двойная дверь камеры,Çift Kanatlı Sarı Hapishane Kapısı,黄色监狱双开门,黃色監獄雙門
NEDwoodDoor_jailDoorDoubleGreen,blocks,block,,,Green Jail Double Door,,Grüne Gefängnis-Doppeltür,Puerta de prisión verde doble,Double porte de prison verte,Porta doppia della prigione verde,牢獄扉（緑・ダブル）,초록색 감옥 이중문,"Drzwi do więzienia – zielone, podwójne",Porta dupla de cela verde,Зеленая двойная дверь камеры,Çift Kanatlı Yeşil Hapishane Kapısı,绿色监狱双开门,綠色監獄雙門
NEDwoodDoor_jailDoorDoubleBlue,blocks,block,,,Blue Jail Double Door,,Blaue Gefängnis-Doppeltür,Puerta de prisión azul doble,Double porte de prison bleue,Porta doppia della prigione blu,牢獄扉（青・ダブル）,파란색 감옥 이중문,"Drzwi do więzienia – niebieskie, podwójne",Porta dupla de cela azul,Синяя двойная дверь камеры,Çift Kanatlı Mavi Hapishane Kapısı,蓝色监狱双开门,藍色監獄雙門
NEDwoodDoor_jailDoorDoubleGrey,blocks,block,,,Grey Jail Double Door,,Graue Gefängnis-Doppeltür,Puerta de prisión gris doble,Double porte de prison grise,Porta doppia della prigione grigia,牢獄扉（灰・ダブル）,회색 감옥 이중문,"Drzwi do więzienia – szare, podwójne",Porta dupla de cela cinza,Серая двойная дверь камеры,Çift Kanatlı Gri Hapishane Kapısı,灰色监狱双开门,灰色監獄雙門
NEDwoodDoor_exteriorHouseDoorWhite,blocks,block,,,White Exterior House Door,,"Weiße Tür, Hausaußenseite",Puerta exterior de la casa blanca,"Porte, extérieur de maison, blanche",Porta di casa esterna bianca,住宅用室外ドア（白）,흰색 외부 집 문,Zewnętrzne drzwi do domu – białe,Porta exterior de casa branca,Белая входная дверь,Beyaz Dış Ev Kapısı,白色室外门,白色室外房屋門
NEDwoodDoor_exteriorHouseDoorBrown,blocks,block,,,Brown Exterior House Door,,"Braune Tür, Hausaußenseite",Puerta exterior de la casa marrón,"Porte, extérieur de maison, marron",Porta di casa esterna marrone,住宅用室外ドア（茶）,갈색 외부 집 문,Zewnętrzne drzwi do domu – brązowe,Porta exterior de casa marrom,Коричневая входная дверь,Kahverengi Dış Ev Kapısı,棕色室外门,棕色室外房屋門
NEDwoodDoor_exteriorHouseDoorRed,blocks,block,,,Red Exterior House Door,,"Rote Tür, Hausaußenseite",Puerta exterior de la casa roja,"Porte, extérieur de maison, rouge",Porta di casa esterna rossa,住宅用室外ドア（赤）,빨간색 외부 집 문,Zewnętrzne drzwi do domu – czerwone,Porta exterior de casa vermelha,Красная входная дверь,Kırmızı Dış Ev Kapısı,红色室外门,紅色室外房屋門
NEDwoodDoor_exteriorHouseDoorOrange,blocks,block,,,Orange Exterior House Door,,"Orangefarbene Tür, Hausaußenseite",Puerta exterior de la casa naranja,"Porte, extérieur de maison, orange",Porta di casa esterna arancione,住宅用室外ドア（橙）,주황색 외부 집 문,Zewnętrzne drzwi do domu – pomarańczowe,Porta exterior de casa laranja,Оранжевая входная дверь,Turuncu Dış Ev Kapısı,橙色室外门,橘色室外房屋門
NEDwoodDoor_exteriorHouseDoorYellow,blocks,block,,,Yellow Exterior House Door,,"Gelbe Tür, Hausaußenseite",Puerta exterior de la casa amarilla,"Porte, extérieur de maison, jaune",Porta di casa esterna gialla,住宅用室外ドア（黄）,노란색 외부 집 문,Zewnętrzne drzwi do domu – żółte,Porta exterior de casa amarela,Желтая входная дверь,Sarı Dış Ev Kapısı,黄色室外门,黃色室外房屋門
NEDwoodDoor_exteriorHouseDoorGreen,blocks,block,,,Green Exterior House Door,,"Grüne Tür, Hausaußenseite",Puerta exterior de la casa verde,"Porte, extérieur de maison, verte",Porta di casa esterna verde,住宅用室外ドア（緑）,녹색 외부 집 문,Zewnętrzne drzwi do domu – zielone,Porta exterior de casa verde,Зеленая входная дверь,Yeşil Dış Ev Kapısı,绿色室外门,綠色室外房屋門
NEDwoodDoor_exteriorHouseDoorBlue,blocks,block,,,Blue Exterior House Door,,"Blaue Tür, Hausaußenseite",Puerta exterior de la casa azul,"Porte, extérieur de maison, bleue",Porta di casa esterna blu,住宅用室外ドア（青）,파란색 외부 집 문,Zewnętrzne drzwi do domu – niebieskie,Porta exterior de casa azul,Синяя входная дверь,Mavi Dış Ev Kapısı,蓝色室外门,藍色室外房屋門
NEDwoodDoor_exteriorHouseDoorPurple,blocks,block,,,Purple Exterior House Door,,"Lilafarbene Tür, Hausaußenseite",Puerta exterior de la casa violeta,"Porte, extérieur de maison, violette",Porta di casa esterna viola,住宅用室外ドア（紫）,보라색 외부 집 문,Zewnętrzne drzwi do domu – fioletowe,Porta exterior de casa roxa,Фиолетовая входная дверь,Mor Dış Ev Kapısı,紫色室外门,紫色室外房屋門
NEDwoodDoor_exteriorHouseDoorGrey,blocks,block,,,Grey Exterior House Door,,"Graue Tür, Hausaußenseite",Puerta exterior de la casa gris,"Porte, extérieur de maison, grise",Porta di casa esterna grigia,住宅用室外ドア（灰）,회색 외부 집 문,Zewnętrzne drzwi do domu – szare,Porta exterior de casa cinza,Серая входная дверь,Gri Dış Ev Kapısı,灰色室外门,灰色室外房屋門
NEDwoodDoor_exteriorHouseDoorPink,blocks,block,,,Pink Exterior House Door,,"Rosafarbene Tür, Hausaußenseite",Puerta exterior de la casa rosa,"Porte, extérieur de maison, rose",Porta di casa esterna rosa,住宅用室外ドア（ピンク）,분홍색 외부 집 문,Zewnętrzne drzwi do domu – różowe,Porta exterior de casa rosa,Розовая входная дверь,Pembe Dış Ev Kapısı,粉色室外门,粉色室外房屋門
NEDwoodDoor_exteriorHouseDoorOak,blocks,block,,,Oak Exterior House Door,,"Eichentür, Hausaußenseite",Puerta exterior de la casa de roble,"Porte, extérieur de maison, chêne",Porta di casa esterna di quercia,住宅用室外ドア（オーク）,오크 외부 집 문,Zewnętrzne drzwi do domu – dębowe,Porta exterior de casa carvalho,Дубовая входная дверь,Meşe Dış Ev Kapısı,橡木室外门,橡木室外房屋門
NEDwoodDoor_exteriorHouseDoorDoubleWhite,blocks,block,,,White Exterior House Double Door,,"Weiße Doppeltür, Hausaußenseite",Puerta doble exterior de la casa blanca,"Double porte, extérieur de maison, blanche",Doppia porta di casa esterna bianca,住宅用室外ダブルドア（白）,흰색 외부 집 이중문,"Zewnętrzne drzwi do domu – białe, podwójne",Porta exterior dupla de casa branca,Белая двойная входная дверь,Çift Kanatlı Beyaz Dış Ev Kapısı,白色室外双开门,白色室外房屋雙門
NEDwoodDoor_exteriorHouseDoorDoubleBrown,blocks,block,,,Brown Exterior House Double Door,,"Braune Doppeltür, Hausaußenseite",Puerta doble exterior de la casa marrón,"Double porte, extérieur de maison, marron",Doppia porta di casa esterna marrone,住宅用室外ダブルドア（茶）,갈색 외부 집 이중문,"Zewnętrzne drzwi do domu – brązowe, podwójne",Porta exterior dupla de casa marrom,Коричневая двойная входная дверь,Çift Kanatlı Kahverengi Dış Ev Kapısı,棕色室外双开门,棕色室外房屋雙門
NEDwoodDoor_exteriorHouseDoorDoubleRed,blocks,block,,,Red Exterior House Double Door,,"Rote Doppeltür, Hausaußenseite",Puerta doble exterior de la casa roja,"Double porte, extérieur de maison, rouge",Doppia porta di casa esterna rossa,住宅用室外ダブルドア（赤）,빨간색 외부 집 이중문,"Zewnętrzne drzwi do domu – czerwone, podwójne",Porta exterior dupla de casa vermelha,Красная двойная входная дверь,Çift Kanatlı Kırmızı Dış Ev Kapısı,红色室外双开门,紅色室外房屋雙門
NEDwoodDoor_exteriorHouseDoorDoubleOrange,blocks,block,,,Orange Exterior House Double Door,,"Orangefarbene Doppeltür, Hausaußenseite",Puerta doble exterior de la casa naranja,"Double porte, extérieur de maison, orange",Doppia porta di casa esterna arancione,住宅用室外ダブルドア（橙）,주황색 외부 집 이중문,"Zewnętrzne drzwi do domu – pomarańczowe, podwójne",Porta exterior dupla de casa laranja,Оранжевая двойная входная дверь,Çift Kanatlı Turuncu Dış Ev Kapısı,橙色室外双开门,橘色室外房屋雙門
NEDwoodDoor_exteriorHouseDoorDoubleYellow,blocks,block,,,Yellow Exterior House Double Door,,"Gelbe Doppeltür, Hausaußenseite",Puerta doble exterior de la casa amarilla,"Double porte, extérieur de maison, jaune",Doppia porta di casa esterna gialla,住宅用室外ダブルドア（黄）,노란색 외부 집 이중문,"Zewnętrzne drzwi do domu – żółte, podwójne",Porta exterior dupla de casa amarela,Желтая двойная входная дверь,Çift Kanatlı Sarı Dış Ev Kapısı,黄色室外双开门,黃色室外房屋雙門
NEDwoodDoor_exteriorHouseDoorDoubleGreen,blocks,block,,,Green Exterior House Double Door,,"Grüne Doppeltür, Hausaußenseite",Puerta doble exterior de la casa verde,"Double porte, extérieur de maison, verte",Doppia porta di casa esterna verde,住宅用室外ダブルドア（緑）,녹색 외부 집 이중문,"Zewnętrzne drzwi do domu – zielone, podwójne",Porta exterior dupla de casa verde,Зеленая двойная входная дверь,Çift Kanatlı Yeşil Dış Ev Kapısı,绿色室外双开门,綠色室外房屋雙門
NEDwoodDoor_exteriorHouseDoorDoubleBlue,blocks,block,,,Blue Exterior House Double Door,,"Blaue Doppeltür, Hausaußenseite",Puerta doble exterior de la casa azul,"Double porte, extérieur de maison, bleue",Doppia porta di casa esterna blu,住宅用室外ダブルドア（青）,파란색 외부 집 이중문,"Zewnętrzne drzwi do domu – niebieskie, podwójne",Porta exterior dupla de casa azul,Синяя двойная входная дверь,Çift Kanatlı Mavi Dış Ev Kapısı,蓝色室外双开门,藍色室外房屋雙門
NEDwoodDoor_exteriorHouseDoorDoublePurple,blocks,block,,,Purple Exterior House Double Door,,"Lila Doppeltür, Hausaußenseite",Puerta doble exterior de la casa violeta,"Double porte, extérieur de maison, violette",Doppia porta di casa esterna viola,住宅用室外ダブルドア（紫）,보라색 외부 집 이중문,"Zewnętrzne drzwi do domu – fioletowe, podwójne",Porta exterior dupla de casa roxa,Фиолетовая двойная входная дверь,Çift Kanatlı Mor Dış Ev Kapısı,紫色室外双开门,紫色室外房屋雙門
NEDwoodDoor_exteriorHouseDoorDoubleGrey,blocks,block,,,Grey Exterior House Double Door,,"Graue Doppeltür, Hausaußenseite",Puerta doble exterior de la casa gris,"Double porte, extérieur de maison, grise",Doppia porta di casa esterna grigia,住宅用室外ダブルドア（灰）,회색 외부 집 이중문,"Zewnętrzne drzwi do domu – szare, podwójne",Porta exterior dupla de casa cinza,Серая двойная входная дверь,Çift Kanatlı Gri Dış Ev Kapısı,灰色室外双开门,灰色室外房屋雙門
NEDwoodDoor_exteriorHouseDoorDoublePink,blocks,block,,,Pink Exterior House Double Door,,"Rosafarbene Doppeltür, Hausaußenseite",Puerta doble exterior de la casa rosa,"Double porte, extérieur de maison, rose",Doppia porta di casa esterna rosa,住宅用室外ダブルドア（ピンク）,분홍색 외부 집 이중문,"Zewnętrzne drzwi do domu – różowe, podwójne",Porta exterior dupla de casa rosa,Розовая двойная входная дверь,Çift Kanatlı Pembe Dış Ev Kapısı,粉色室外双开门,粉色室外房屋雙門
NEDwoodDoor_exteriorHouseDoorDoubleOak,blocks,block,,,Oak Exterior House Double Door,,"Eichen-Doppeltür, Hausaußenseite",Puerta doble exterior de la casa de roble,"Double porte, extérieur de maison, chêne",Doppia porta di casa esterna di quercia,住宅用室外ダブルドア（オーク）,오크 외부 집 이중문,"Zewnętrzne drzwi do domu – dębowe, podwójne",Porta exterior dupla de casa carvalho,Дубовая двойная входная дверь,Çift Kanatlı Meşe Dış Ev Kapısı,橡木室外双开门,橡木室外房屋雙門
NEDwoodDoor_exteriorHouseDoorSideLightSingleWhite,blocks,block,,,White Exterior House Side Light Single Door,,"Weiße Einzeltür, Hausaußenseite, leicht",Ventana lateral de puerta exterior individual de casa blanca,"Porte simple, lumière latérale, extérieur de maison, blanche",Porta laterale singola leggera esterna bianca,住宅用室外ドア（白・サイド照明・シングル）,흰색 외부 집 측면 조명 싱글 문,"Zewnętrzne drzwi do domu – białe, bok, lekkie, pojedyncze",Porta única com vidro lateral de casa exterior branca,Белая одинарная входная дверь с окнами по бокам,Beyaz Dış Ev Kapısı Tekli Yan Lambası,白色室外侧光单开门,白色室外房屋側光單門
NEDwoodDoor_exteriorHouseDoorSideLightSingleBrown,blocks,block,,,Brown Exterior House Side Light Single Door,,"Braune Einzeltür, Hausaußenseite, leicht",Ventana lateral de puerta exterior individual de casa marrón,"Porte simple, lumière latérale, extérieur de maison, marron",Porta laterale singola leggera esterna marrone,住宅用室外ドア（茶色・サイド照明・シングル）,갈색 외부 집 측면 조명 싱글 문,"Zewnętrzne drzwi do domu – brązowe, bok, lekkie, pojedyncze",Porta única com vidro lateral de casa exterior marrom,Коричневая одинарная входная дверь с окнами по бокам,Kahverengi Dış Ev Kapısı Tekli Yan Lambası,棕色室外侧光单开门,棕色室外房屋側光單門
